карасына	кара+Adj+Sg+POSS_3(СЫ)+DIR(ГА);кара+N+Sg+POSS_3(СЫ)+DIR(ГА);	кара[Adj]: чёрный | кара[N]: чернила
манган	ман+V+PCP_PS(ГАн);ман+V+PST_INDF(ГАн);
арада	ара+N+Sg+LOC(ДА);арада+POST;	ара[N]: между, среди, промежуток
,	Type2
сынар	сын+V+PCP_FUT(Ыр);сына+V+FUT_INDF(Ыр);сына+V+PCP_FUT(Ыр);	сын[V]: ломаться | сына[V]: испытать, испытывать
куллы	кул+N+ATTR_MUN(лЫ);	кул[N]: рука
кешенең	кеше+N+GEN(нЫң);	кеше[N]: человек
йөзендә	йөз+N+Sg+POSS_3(СЫ)+LOC(ДА);йөз+Num+POSS_3(СЫ)+LOC(ДА);	йөз[N]: лицо | йөз[Num]: сто, сотый
ниндидер	нинди+PN+PROB(ДЫр);	нинди[PN]: какой
таныш	таны+V+RECP(Ыш)+IMP_SG();таны+V+VN_2(Ыш)+Nom;таныш+Adj;	таны[V]: признавать, признать | таныш[Adj]: знакомый
чырай	чырай+N+Sg+Nom;	чырай[N]: лицо
күреп	күр+V+ADVV_ACC(Ып);	күр[V]: видеть
,	Type2
акырып	акыр+V+ADVV_ACC(Ып);	акыр[V]: орать
җибәрә	җибәр+V+PRES(Й);	җибәр[V]: пускать, пустить
:	Type2
—	Type2
Эләктеңме	эләк+V+PST_DEF(ДЫ)+2SG(ң)+INT(мЫ);
,	Type2
чулак	чулак+Adj;
?	Type1
Ул	ул+N+Sg+Nom;ул+PN;	ул[N]: сын | ул[PN]: он, она, оно, они, его, их
аның	ул+PN+GEN(нЫң);	ул[PN]: он, она, оно, они, его, их
,	Type2
шуннан	шул+PN+ABL(ДАн);	шул[PN]: это, так, оттуда, потом
унбиш	унбиш+Num;	унбиш[Num]: пятнадцать, пятнадцатый
еллар	ел+N+PL(ЛАр)+Nom;	ел[N]: год²
элек	элек+Adv;элек+POST;	элек[Adv]: раньше, бывший | элек[POST]: раньше
рус	рус+Adj;рус+N+Sg+Nom;
армиясе	армия+N+Sg+POSS_3(СЫ)+Nom;	армия[N]: армия
сафында	саф+Adj+Sg+POSS_3(СЫ)+LOC(ДА);	саф[Adj]: чистый, чисто
гаскәр	гаскәр+N+Sg+Nom;	гаскәр[N]: войско
хезмәтен	хезмәт+N+Sg+POSS_3(СЫ)+ACC(нЫ);	хезмәт[N]: труд
үтәп	үтә+V+ADVV_ACC(Ып);	үтә[V]: выполнить, выполнять
кайткач	кайт+V+ADVV_ANT(ГАч);	кайт[V]: возвратиться, возвращаться, возвращение
,	Type2
үзе	үзе+PN;
төсле	төс+N+ATTR_MUN(лЫ);төсле+Adj;төсле+POST;	төс[N]: цвет | төсле[Adj]: цветной
тынгысыз	тынгы+N+ATTR_ABES(сЫз)+Sg+Nom;тынгы+N+Sg+2PL(сЫз);	тынгы[N]: покой
авылдашларын	авылдаш+N+PL(ЛАр)+POSS_3(СЫ)+ACC(нЫ);
Пугач	пугач+N+Sg+Nom;
ягына	ягын+V+PRES(Й);як+N+Sg+POSS_3(СЫ)+DIR(ГА);як+V+REFL(Ын)+PRES(Й);	як[N]: сторона | як[V]: сжечь
ияртеп	ияр+V+CAUS(т)+ADVV_ACC(Ып);	ияр[V]: следовать
чыккан	чык+V+PCP_PS(ГАн);чык+V+PST_INDF(ГАн);	чык[V]: выйти, выходить
һәм	һәм+CNJ;	һәм[CNJ]: и
:	Type2
—	Type2
Петр	петр+PROP+Sg+Nom;
Феодрич	феодрич+N+Sg+Nom;
кыр	кыр+N+Sg+Nom;кыр+V+IMP_SG();	кыр[N]: поле
чирүе	чирү+N+Sg+POSS_3(СЫ)+Nom;
чаклы	чак+N+ATTR_MUN(лЫ);чаклы+POST;	чак[N]: время | чаклы[POST]: до
халык	халык+N+Sg+Nom;	халык[N]: народ, толпа, народный
белән	белән+POST;	белән[POST]: на, с
Казанны	казан+N+Sg+ACC(нЫ);казан+PROP+ACC(нЫ);	казан[N]: казан
алмага	алма+N+Sg+DIR(ГА);
килә	кил+V+PRES(Й);	кил[V]: идти
!	Type1
—	Type2
дип	ди+V+ADVV_ACC(Ып);	ди[V]: говорить, сказать
хәбәр	хәбәр+N+Sg+Nom;	хәбәр[N]: весть, сообщение
таратып	тара+V+CAUS(т)+ADVV_ACC(Ып);тарат+V+ADVV_ACC(Ып);	тарат[V]: распространить
,	Type2
шул	шул+PART;шул+PN;	шул[PN]: это, так, оттуда, потом
замандагы	заман+N+Sg+ATTR_LOC(ДАгЫ);	заман[N]: время, эпоха
губернатор	губернатор+N+Sg+Nom;	губернатор[N]: губернатор
Брантны	брантн+N+Sg+POSS_3(СЫ)+Nom;брант+N+Sg+ACC(нЫ);
куркуга	курк+V+VN_1(у/ү/в)+DIR(ГА);курку+N+Sg+DIR(ГА);	курк[V]: испугаться | курку[N]: страх
төшергән	төшер+V+PCP_PS(ГАн);төшер+V+PST_INDF(ГАн);	төшер[V]: опускать, опустить
Тигәнәле	тигәнә+N+ATTR_MUN(лЫ);
крестьяны	крестьян+N+Sg+POSS_3(СЫ)+Nom;	крестьян[N]: крестьянин
Зариф	зариф+PROP+Sg+Nom;
икәнлеген	икәнлеген+N+Sg+Nom;
таный	таны+V+PRES(Й);	таны[V]: признавать, признать
.	Type1
Бу	бу+PN;	бу[PN]: это, здесь
очрашуга	очра+V+RECP(Ыш)+VN_1(у/ү/в)+DIR(ГА);очрашу+N+Sg+DIR(ГА);	очра[V]: встретиться, встречаться | очрашу[N]: встреча
озак	озак+Adj;	озак[Adj]: долгий, долго
та	та+PART;
үтми	үт+V+NEG(мА)+PRES(Й);	үт[V]: пройти, проходить
,	Type2
әҗем	әҗ+N+Sg+POSS_1SG(Ым)+Nom;
мәхәлләсе	мәхәлләс+N+Sg+POSS_3(СЫ)+Nom;мәхәллә+N+Sg+POSS_3(СЫ)+Nom;
шәкертләре	шәкерт+N+PL(ЛАр)+POSS_3(СЫ)+Nom;	шәкерт[N]: студент
бәет	бәет+N+Sg+Nom;
чыгаралар	чыгар+V+PRES(Й)+3PL(ЛАр);	чыгар[V]: вывести, выводить
:	Type2
—	Type2
Тарих	тарих+N+Sg+Nom;	тарих[N]: история
мең	мең+Num;	мең[Num]: тысяча, тысячный
дә	дә+PART;
җиде	җиде+Num;	җиде[Num]: семь, седьмой
йөз	йөз+N+Sg+Nom;йөз+Num;йөз+V+IMP_SG();	йөз[N]: лицо | йөз[Num]: сто, сотый | йөз[V]: плавать
дә	дә+PART;
җитмеш	җитмеш+Num;	җитмеш[Num]: семьдесять, семидесятый
бишенче	биш+Num+NUM_ORD(ЫнчЫ);	биш[Num]: пять, пятый
сәнәдә	сәнә+N+Sg+LOC(ДА);
Зариф	зариф+PROP+Sg+Nom;
солдатны	солдат+N+Sg+ACC(нЫ);	солдат[N]: солдат
астылар	ас+V+PST_DEF(ДЫ)+3PL(ЛАр);
Казанда	казан+N+Sg+LOC(ДА);казан+PROP+LOC(ДА);	казан[N]: казан
—	Type2
иске	иске+Adj;иске+PROP+Sg+Nom;	иске[Adj]: старый
Бистәдә…	Error
Габделмән	габделмән+N+Sg+Nom;
түрә	түрә+N+Sg+Nom;	түрә[N]: начальник
әби	әби+N+Sg+Nom;	әби[N]: бабушка
патша	патша+N+Sg+Nom;	патша[N]: царь
фәрманнарын	фәрман+N+PL(ЛАр)+POSS_3(СЫ)+ACC(нЫ);	фәрман[N]: указ
җиренә	җир+N+Sg+POSS_3(СЫ)+DIR(ГА);	җир[N]: земля, земной
җиткереп	җиткер+V+ADVV_ACC(Ып);
үти	үтә+V+PRES(Й);	үтә[V]: выполнить, выполнять
һәм	һәм+CNJ;	һәм[CNJ]: и
,	Type2
үзен	үз+PN+POSS_3(СЫ)+ACC(нЫ);	үз[PN]: сам
«	Type4
Казан	казан+N+Sg+Nom;казан+PROP+Sg+Nom;казан+V+IMP_SG();	казан[N]: казан
помещицасы	помещицас+N+Sg+POSS_3(СЫ)+Nom;помещица+N+Sg+POSS_3(СЫ)+Nom;
»	Type4
дип	ди+V+ADVV_ACC(Ып);	ди[V]: говорить, сказать
йөртүче	йөр+V+CAUS(т)+VN_1(у/ү/в)+PCP_PR(чЫ);йөр+V+CAUS(т)+VN_1(у/ү/в)+PROF(чЫ)+Sg+Nom;йөрт+V+VN_1(у/ү/в)+PCP_PR(чЫ);йөрт+V+VN_1(у/ү/в)+PROF(чЫ)+Sg+Nom;	йөр[V]: походить, ходить | йөрт[V]: водить
императрица	императрица+N+Sg+Nom;
Екатерина	екатерина+PROP+Sg+Nom;
тарафыннан	тараф+N+Sg+POSS_3(СЫ)+ABL(ДАн);тарафыннан+POST;	тараф[N]: сторона
«	Type4
За	Rus
верность	Rus
,	Type2
за	Rus
его	Rus
службу	Rus
в	Rus
1774	Num
году	Rus
»	Type4
медале	медаль+N+Sg+POSS_3(СЫ)+Nom;	медаль[N]: медаль
белән	белән+POST;	белән[POST]: на, с
бүләкләнә	бүләклә+V+REFL(Ын)+PRES(Й);бүләклән+V+PRES(Й);
.	Type1
Ләкин	ләкин+CNJ;
аңа	ул+PN+DIR(ГА);	ул[PN]: он, она, оно, они, его, их
барыбер	барыбер+Adv;	барыбер[Adv]: всё равно
тыныч	тыныч+Adj;	тыныч[Adj]: мирный, спокойный, мирно, спокойно
яшәргә	яшә+V+INF_1(ЫргА);	яшә[V]: жить, прожить
насыйп	насыйп+N+Sg+Nom;	насыйп[N]: судьба
булмый	бул+V+NEG(мА)+PRES(Й);	бул[V]: быть, случиться
—	Type2
Тигәнәле	тигәнә+N+ATTR_MUN(лЫ);
крестьяннары	крестьян+N+PL(ЛАр)+POSS_3(СЫ)+Nom;	крестьян[N]: крестьянин
шул	шул+PART;шул+PN;	шул[PN]: это, так, оттуда, потом
ук	ук+N+Sg+Nom;ук+PART;	ук[N]: стрела
елны	ел+N+Sg+ACC(нЫ);	ел[N]: год²
аның	ул+PN+GEN(нЫң);	ул[PN]: он, она, оно, они, его, их
имениесен	имениесен+N+Sg+Nom;
яндыралар	ян+V+CAUS(ДЫр)+PRES(Й)+3PL(ЛАр);яндыр+V+PRES(Й)+3PL(ЛАр);	ян[V]: гореть, сгореть, угрожать
.	Type1
Күпме	күп+Adj+INT(мЫ);күпме+PN;	күп[Adj]: много | күпме[PN]: сколько
гомер	гомер+N+Sg+Nom;	гомер[N]: жизнь
җыеп	җый+V+ADVV_ACC(Ып);	җый[V]: собирать, собрать
килгән	кил+V+PCP_PS(ГАн);кил+V+PST_INDF(ГАн);	кил[V]: идти
җиһазлар	җиһаз+N+PL(ЛАр)+Nom;җиһазла+V+FUT_INDF(Ыр);җиһазла+V+PCP_FUT(Ыр)+N;	җиһаз[N]: оборудование
көлгә	көл+N+Sg+DIR(ГА);
әйләнәләр	әйлән+V+PRES(Й)+3PL(ЛАр);әйләнә+N+PL(ЛАр)+Nom;	әйлән[V]: крутиться | әйләнә[N]: окружность
.	Type1
Бары	бар+N+Sg+POSS_3(СЫ)+Nom;бар+PN+POSS_3(СЫ)+Nom;бары+CNJ;бары+PN;	бар[N]: бар | бары[PN]: весь
тик	тик+CNJ;	тик[CNJ]: но
чуен	чуен+N+Sg+Nom;
сандыктагы	сандык+N+Sg+ATTR_LOC(ДАгЫ);	сандык[N]: сундук
җир	җир+N+Sg+Nom;	җир[N]: земля, земной
кәгазьләре	кәгазь+N+PL(ЛАр)+POSS_3(СЫ)+Nom;	кәгазь[N]: бумага, бумажный
генә	генә+PART;
ут	ут+N+Sg+Nom;	ут[N]: огонь
күздән	күз+N+Sg+ABL(ДАн);	күз[N]: глаз
имин	имин+Adj;	имин[Adj]: невредимый
калып	кал+V+ADVV_ACC(Ып);калып+N+Sg+Nom;	кал[V]: оставаться, остаться | калып[N]: форма, шаблон
,	Type2
сиксән	сиксән+Num;	сиксән[Num]: восемдесять, восьмидесятый
елдан	ел+N+Sg+ABL(ДАн);	ел[N]: год²
артык	артык+Adj;	артык[Adj]: лишний
онытылып	оныт+V+PASS(Ыл)+ADVV_ACC(Ып);онытыл+V+ADVV_ACC(Ып);	оныт[V]: забывать, забыть
ятканнан	ят+V+PCP_PS(ГАн)+ABL(ДАн);яткан+Adj+Sg+ABL(ДАн);	ят[V]: лечь, ложиться
соң	соң+Adv;соң+N+Sg+Nom;соң+PART;соң+POST;	соң[Adv]: же, поздно, последний | соң[N]: конец | соң[POST]: после
,	Type2
тагын	тагын+Adv;	тагын[Adv]: ещё, опять, снова
калкып	калк+V+ADVV_ACC(Ып);
чыгалар	чык+V+PRES(Й)+3PL(ЛАр);	чык[V]: выйти, выходить
.	Type1
Бу	бу+PN;	бу[PN]: это, здесь
юлы	юл+N+Sg+POSS_3(СЫ)+Nom;	юл[N]: дорога, путь, строка, строчка
ул	ул+N+Sg+Nom;ул+PN;	ул[N]: сын | ул[PN]: он, она, оно, они, его, их
кәгазьләрне	кәгазь+N+PL(ЛАр)+ACC(нЫ);	кәгазь[N]: бумага, бумажный
Галкәй	галкәй+N+Sg+Nom;
хуҗа	хуҗа+N+Sg+Nom;	хуҗа[N]: хозяин
кушуы	куш+V+VN_1(у/ү/в)+POSS_3(СЫ)+Nom;	куш[V]: велеть, складывать, сложить
буенча	буенча+POST;	буенча[POST]: по
авыл	авыл+N+Sg+Nom;	авыл[N]: деревня, село, сельский
халкына	халкына+N+Sg+Nom;
Александр	александр+PROP+Sg+Nom;
патша	патша+N+Sg+Nom;	патша[N]: царь
манифестын	манифест+N+Sg+POSS_3(СЫ)+ACC(нЫ);
укыр	укы+V+FUT_INDF(Ыр);укы+V+PCP_FUT(Ыр);	укы[V]: учиться, прочитать, читать
өчен	өчен+POST;	өчен[POST]: для, за
җибәрелгән	җибәр+V+PASS(Ыл)+PCP_PS(ГАн);җибәр+V+PASS(Ыл)+PST_INDF(ГАн);җибәрел+V+PCP_PS(ГАн);җибәрел+V+PST_INDF(ГАн);	җибәр[V]: пускать, пустить
управляющий	Rus
Эгерсь	эгерсь+N+Sg+Nom;
кулында	кул+N+Sg+POSS_3(СЫ)+LOC(ДА);	кул[N]: рука
күрәләр	күр+V+PRES(Й)+3PL(ЛАр);	күр[V]: видеть
.	Type1
Бабалары	баба+N+PL(ЛАр)+POSS_3(СЫ)+Nom;	баба[N]: дед
җиде	җиде+Num;	җиде[Num]: семь, седьмой
еллык	ел+N+NMLZ(лЫк)+Sg+Nom;ел+N+PSBL(лЫк);еллык+Adj;еллык+N+Sg+Nom;	ел[N]: год² | еллык[Adj]: годовой
сугыш	сугыш+N+Sg+Nom;сук+V+RECP(Ыш)+IMP_SG();сук+V+VN_2(Ыш)+Nom;	сугыш[N]: бой¹, война | сук[V]: бить, побить
вакытында	вакыт+N+Sg+POSS_3(СЫ)+LOC(ДА);	вакыт[N]: время, пора
Пруссиядәге	пруссиядәг+N+Sg+POSS_3(СЫ)+Nom;
ояларыннан	оя+N+PL(ЛАр)+POSS_3(СЫ)+ABL(ДАн);	оя[N]: гнездо, нора
купкан	куп+V+PCP_PS(ГАн);куп+V+PST_INDF(ГАн);
һәм	һәм+CNJ;	һәм[CNJ]: и
әби	әби+N+Sg+Nom;	әби[N]: бабушка
патша	патша+N+Sg+Nom;	патша[N]: царь
рөхсәте	рөхсәт+N+Sg+POSS_3(СЫ)+Nom;	рөхсәт[N]: разрешение
белән	белән+POST;	белән[POST]: на, с
Волга	волга+PROP+Sg+Nom;
буена	буена+POST;буй+N+Sg+POSS_3(СЫ)+DIR(ГА);буй+PROP+POSS_3(СЫ)+DIR(ГА);	буена[POST]: в течение, по | буй[N]: длина, рост
килеп	кил+V+ADVV_ACC(Ып);	кил[V]: идти
урнашкан	урна+V+RECP(Ыш)+PCP_PS(ГАн);урна+V+RECP(Ыш)+PST_INDF(ГАн);
немец	немец+N+Sg+Nom;
юнкерлары	юнкер+N+PL(ЛАр)+POSS_3(СЫ)+Nom;
нәселеннән	нәсел+N+Sg+POSS_3(СЫ)+ABL(ДАн);	нәсел[N]: род
иде	и+V+PST_DEF(ДЫ);
ул	ул+N+Sg+Nom;ул+PN;	ул[N]: сын | ул[PN]: он, она, оно, они, его, их
Эгерсь	эгерсь+N+Sg+Nom;
.	Type1
Рәсәйнең	рәсәй+PROP+GEN(нЫң);
бәрәкәтле	бәрәкәт+N+ATTR_MUN(лЫ)+Sg;
туфрагына	туфрак+N+Sg+POSS_3(СЫ)+DIR(ГА);	туфрак[N]: почва
авыз	авыз+N+Sg+Nom;	авыз[N]: рот
төрткән	төр+V+CAUS(т)+PCP_PS(ГАн);төр+V+CAUS(т)+PST_INDF(ГАн);төрт+V+PCP_PS(ГАн);төрт+V+PST_INDF(ГАн);	төр[V]: завернуть | төрт[V]: ткнуть
комсыз	ком+N+ATTR_ABES(сЫз)+Sg+Nom;ком+N+Sg+2PL(сЫз);комсыз+Adj;	ком[N]: песок
колонистлар	колонист+N+PL(ЛАр)+Nom;
бик	бик+Adv;	бик[Adv]: очень
тиз	тиз+Adj;	тиз[Adj]: быстрый, быстро
үрчегәннәр	үрче+V+PCP_PS(ГАн)+PL(ЛАр)+Nom;үрче+V+PST_INDF(ГАн)+3PL(ЛАр);
.	Type1
Алар	алар+PN;	алар[PN]: они
арасыннан	ара+N+Sg+POSS_3(СЫ)+ABL(ДАн);арасыннан+POST;	ара[N]: между, среди, промежуток
,	Type2
шундый	шундый+Adj;
ук	ук+N+Sg+Nom;ук+PART;	ук[N]: стрела
килмешәк	килмешәк+N+Sg+Nom;
«	Type4
әгел	әгел+N+Sg+Nom;
Error	чән;
NR	»;	»: »
Type4	,;	,: ,
Type2	француз;	француз: француз
француз+N+Sg+Nom;	байлары;
бай+N+PL(ЛАр)+POSS_3(СЫ)+Nom;	белән;	белән: и, на, с
белән+POST;	бергәләп;	бергәләп: совместно
бергәләп+Adv;	,;	,: ,
Type2	Рәсәй;
рәсәй+PROP+Sg+Nom;	базарында;
базар+N+Sg+POSS_3(СЫ)+LOC(ДА);	табыш;	табыш: прибыль
табыш+N+Sg+Nom;тап+V+RECP(Ыш)+IMP_SG();тап+V+VN_2(Ыш)+Nom;	бүлешкән;
бүл+V+RECP(Ыш)+PCP_PS(ГАн);бүл+V+RECP(Ыш)+PST_INDF(ГАн);	алпавытлар;
алпавыт+N+PL(ЛАр)+Nom;	,;	,: ,
Type2	сарпинка;
сарпинка+N+Sg+Nom;	һәм;	һәм: и
һәм+CNJ;	кызыл;	кызыл: красный, красно
кызыл+Adj;	мал;	мал: скот.sg, товар
мал+N+Sg+Nom;	фабрикантлары;
фабрикант+N+PL(ЛАр)+POSS_3(СЫ)+Nom;	,;	,: ,
Type2	тимер;	тимер: железо
тимер+N+Sg+Nom;	Error
томыр	томыр+V+IMP_SG();
заводларының	завод+N+PL(ЛАр)+POSS_3(СЫ)+GEN(нЫң);	завод[N]: завод
,	Type2
күмер	күм+V+FUT_INDF(Ыр);күм+V+PCP_FUT(Ыр);күмер+N+Sg+Nom;	күмер[N]: уголь
шахталарының	шахта+N+PL(ЛАр)+POSS_3(СЫ)+GEN(нЫң);	шахта[N]: шахта
,	Type2
балык	балык+N+Sg+Nom;	балык[N]: рыба
промыслоларыныц	промыслоларыныц+N+Sg+Nom;
хуҗалары	хуҗа+N+PL(ЛАр)+POSS_3(СЫ)+Nom;	хуҗа[N]: хозяин
җитешкән	җит+V+RECP(Ыш)+PCP_PS(ГАн);җит+V+RECP(Ыш)+PST_INDF(ГАн);	җит[V]: дойти, доходить
.	Type1
Патша	патша+N+Sg+Nom;	патша[N]: царь
сараенда	сараен+N+Sg+Nom+PART(ДА);сараен+N+Sg+LOC(ДА);
,	Type2
армиядә	армия+N+Sg+LOC(ДА);	армия[N]: армия
,	Type2
жандармериядә	жандармерия+N+Sg+LOC(ДА);
һәм	һәм+CNJ;	һәм[CNJ]: и
башка	баш+N+Sg+DIR(ГА);башка+Adj;башка+POST;	баш[N]: голова | башка[Adj]: другой | башка[POST]: кроме
урыннарда	урын+N+PL(ЛАр)+LOC(ДА);	урын[N]: место
зур	зур+Adj;	зур[Adj]: большой
чинлы	чин+N+ATTR_MUN(лЫ)+Sg;
немец	немец+N+Sg+Nom;
түрәләренең	түрә+N+PL(ЛАр)+POSS_3(СЫ)+GEN(нЫң);	түрә[N]: начальник
саны	сан+N+Sg+POSS_3(СЫ)+Nom;	сан[N]: количество, цена, число
арта	ар+V+CAUS(т)+PRES(Й);арт+V+PRES(Й);	арт[V]: увеличиваться, увеличиться
барган	бар+V+PCP_PS(ГАн);бар+V+PST_INDF(ГАн);	бар[V]: идти, пойти
.	Type1
Казан	казан+N+Sg+Nom;казан+PROP+Sg+Nom;казан+V+IMP_SG();	казан[N]: казан
губернаторы	губернатор+N+Sg+POSS_3(СЫ)+Nom;	губернатор[N]: губернатор
фон	фон+N+Sg+Nom;	фон[N]: фон
Брант	брант+N+Sg+Nom;
