ел+N+Sg+LOC(ДА);	ак;	ак: белый
ак+Adj;ак+V+IMP_SG();	падишаһ;
NR	чар;	чар: точило
чар+N+Sg+Nom;	Михаил;
михаил+PROP+Sg+Nom;	Федорович;
Rus	ярлыгы;
яр+N+NMLZ(лЫк)+Sg+POSS_3(СЫ)+Nom;яр+N+PSBL(лЫк)+POSS_3(СЫ)+Nom;	нлән;
NR	тугызынчы;
тугыз+Num+NUM_ORD(ЫнчЫ);	бабамыз;
NR	йомышлы;
йом+V+VN_2(Ыш)+ATTR_MUN(лЫ);йомыш+N+ATTR_MUN(лЫ);	татар;	татар: татарин, татарский
татар+N+Sg+Nom;	Ишмөхәммәткә;
NR	беркетелмештер;
NR	.;
Аның	ул+PN+GEN(нЫң);	ул[PN]: он, она, оно, они, его, их
атасы	ат+V+OBL(ЙсЫ);ата+N+Sg+POSS_3(СЫ)+Nom;	ат[V]: стрелять | ата[N]: отец, отчий
Хангильди	хангильди+N+Sg+Nom;
морза	морза+N+Sg+Nom;
,	Type2
аның	ул+PN+GEN(нЫң);	ул[PN]: он, она, оно, они, его, их
атасы	ат+V+OBL(ЙсЫ);ата+N+Sg+POSS_3(СЫ)+Nom;	ат[V]: стрелять | ата[N]: отец, отчий
Байтирәк	байтирәк+N+Sg+Nom;
князь	князь+N+Sg+Nom;
,	Type2
аның	ул+PN+GEN(нЫң);	ул[PN]: он, она, оно, они, его, их
атасы	ат+V+OBL(ЙсЫ);ата+N+Sg+POSS_3(СЫ)+Nom;	ат[V]: стрелять | ата[N]: отец, отчий
хуҗа	хуҗа+N+Sg+Nom;	хуҗа[N]: хозяин
әхмәт	әхмәт+PROP+Sg+Nom;
,	Type2
аның	ул+PN+GEN(нЫң);	ул[PN]: он, она, оно, они, его, их
атасы	ат+V+OBL(ЙсЫ);ата+N+Sg+POSS_3(СЫ)+Nom;	ат[V]: стрелять | ата[N]: отец, отчий
Сәлимгәрәй	сәлимгәрәй+PROP+Sg+Nom;
,	Type2
аның	ул+PN+GEN(нЫң);	ул[PN]: он, она, оно, они, его, их
атасы	ат+V+OBL(ЙсЫ);ата+N+Sg+POSS_3(СЫ)+Nom;	ат[V]: стрелять | ата[N]: отец, отчий
Сәедтигәнәй	сәедтигәнәй+N+Sg+Nom;
улып	улып+N+Sg+Nom;
,	Type2
шәһәри	шәһәри+N+Sg+Nom;
Болгар	болга+V+FUT_INDF(Ыр);болга+V+PCP_FUT(Ыр);болгар+N+Sg+Nom;болгар+PROP+Sg+Nom;
газыйлары	газый+Adj+PL(ЛАр)+POSS_3(СЫ)+Nom;
нәселеннәндер	нәсел+N+Sg+POSS_3(СЫ)+ABL(ДАн)+3SG(ДЫр);нәсел+N+Sg+POSS_3(СЫ)+ABL(ДАн)+PROB(ДЫр);	нәсел[N]: род
.	Type1
Тигәнәле	тигәнә+N+ATTR_MUN(лЫ);
авылы	авыл+N+Sg+POSS_3(СЫ)+Nom;ау+N+Sg+POSS_3(СЫ)+ATTR_MUN(лЫ);	авыл[N]: деревня, село, сельский | ау[N]: охота
аның	ул+PN+GEN(нЫң);	ул[PN]: он, она, оно, они, его, их
исеме	ис+N+Sg+POSS_3(СЫ)+Nom+INT(мЫ);исем+N+Sg+POSS_3(СЫ)+Nom;	ис[N]: запах | исем[N]: звание, имя
белән	белән+POST;	белән[POST]: на, с
аталмыш	аталмыш+N+Sg+Nom;
булса	бул+V+COND(сА);	бул[V]: быть, случиться
кирәк…	Error
Кыйбатка	кыйбат+Adj+Sg+DIR(ГА);	кыйбат[Adj]: дорогой, дорого
төшкән	төш+V+PCP_PS(ГАн);төш+V+PST_INDF(ГАн);	төш[V]: опускаться, опуститься
кәгазь	кәгазь+N+Sg+Nom;	кәгазь[N]: бумага, бумажный
бу	бу+PN;	бу[PN]: это, здесь
һәм	һәм+CNJ;	һәм[CNJ]: и
аның	ул+PN+GEN(нЫң);	ул[PN]: он, она, оно, они, его, их
тарихы	тарих+N+Sg+POSS_3(СЫ)+Nom;	тарих[N]: история
пичәмә	пи+N+EQU(чА)+POSS_1SG(Ым)+DIR(ГА);
ничә	ничә+PN;
буыннарның	буын+N+PL(ЛАр)+GEN(нЫң);	буын[N]: поколение, сустав
язмышы	язмыш+N+Sg+POSS_3(СЫ)+Nom;	язмыш[N]: судьба
өстендә	өс+N+Sg+POSS_3(СЫ)+LOC(ДА);өстен+Adj+Sg+LOC(ДА);өстендә+POST;	өстен[Adj]: господствующий, превосходить
,	Type2
каргышлы	каргыш+N+ATTR_MUN(лЫ);	каргыш[N]: проклятие
сихер	сихер+N+Sg+Nom;	сихер[N]: колдовство
төсле	төс+N+ATTR_MUN(лЫ);төсле+Adj;төсле+POST;	төс[N]: цвет | төсле[Adj]: цветной
,	Type2
асылынып	ас+V+PASS(Ыл)+REFL(Ын)+ADVV_ACC(Ып);асыл+V+REFL(Ын)+ADVV_ACC(Ып);асылын+V+ADVV_ACC(Ып);
килә	кил+V+PRES(Й);	кил[V]: идти
.	Type1
4	Num
Пугач	пугач+N+Sg+Nom;
кузгалган	кузгал+V+PCP_PS(ГАн);кузгал+V+PST_INDF(ГАн);
елны	ел+N+Sg+ACC(нЫ);	ел[N]: год²
Галкәй	галкәй+N+Sg+Nom;
хуҗаның	хуҗа+N+Sg+GEN(нЫң);	хуҗа[N]: хозяин
бабасының	баба+N+Sg+POSS_3(СЫ)+GEN(нЫң);	баба[N]: дед
атасы	ат+V+OBL(ЙсЫ);ата+N+Sg+POSS_3(СЫ)+Nom;	ат[V]: стрелять | ата[N]: отец, отчий
Габделмән	габделмән+N+Sg+Nom;
түрә	түрә+N+Sg+Nom;	түрә[N]: начальник
«	Type4
фетнәчеләр	фетнә+N+PROF(чЫ)+PL(ЛАр)+Nom;
эшен	эш+N+Sg+POSS_3(СЫ)+ACC(нЫ);	эш[N]: дело
тикшерү	тикшер+V+VN_1(у/ү/в)+Nom;	тикшер[V]: проверить, проверять
комиссиясе	комиссия+N+Sg+POSS_3(СЫ)+Nom;	комиссия[N]: комиссия
»	Type4
ндә	ндә+N+Sg+Nom;
тылмач	тылмач+N+Sg+Nom;	тылмач[N]: переводчик
булып	бул+V+ADVV_ACC(Ып);	бул[V]: быть, случиться
эшли	эшлә+V+PRES(Й);	эшлә[V]: делать, поступать, поступить, работать, сделать
.	Type1
Петр	петр+PROP+Sg+Nom;
Федорович	Rus
(	Type3
Пугачов	пугачов+N+Sg+Nom;
)	Type3
яклы	як+N+ATTR_MUN(лЫ);	як[N]: сторона
өяз	өяз+N+Sg+Nom;	өяз[N]: уезд
татарларыннан	татар+N+PL(ЛАр)+POSS_3(СЫ)+ABL(ДАн);	татар[N]: татарин, татарский
бик	бик+Adv;	бик[Adv]: очень
